stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
45,0.5,1.5,50.1599403,,50.1449438,50.1599403,50.6601331,50.6601331,50.6601331,50.9601927,51.0943264,right,1.5,1,1,0.4321054,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
46,0.5,1,51.1101933,,51.0943994,51.1101933,51.5935571,51.5935571,51.6102649,51.8933849,52.1943307,right,1,0,0,0.5937279,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
47,0.5,1.5,52.2104429,,52.1944057,52.2104429,52.693697,52.693697,52.710335,52.9935849,53.311141,right,1.5,1,1,0.6072921,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
48,0.5,1.5,53.3267987,,53.3112351,53.3267987,53.8102662,53.8102662,53.8268951,54.1100986,54.2111301,left,-1.5,0,0,0.3852749,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
49,0.5,2,54.2267989,,54.2112358,54.2267989,54.7268938,54.7268938,54.7268938,55.0268318,55.2278875,right,2,1,1,0.4887802,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
50,0.5,2,55.2436135,,55.2279687,55.2436135,55.728416,55.728416,55.7449596,56.0283683,56.2141185,left,-2,0,0,0.4764726,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
51,2,10,0.0360573,,0.0187851,0.0360573,0.539382,0.539382,0.552598,0.8525998,1.0398493,left,-10,1,1,0.4863284,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
52,2,8,1.0525323,,1.0399294,1.0525323,1.5527831,1.5527831,1.5527831,1.8526304,1.9200951,right,8,1,1,0.3510805,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
53,2,6,1.936122,,1.9201683,1.936122,2.4193099,2.4193099,2.4360951,2.7193315,2.8200376,right,6,1,1,0.3924504,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
54,2,4,2.8360195,,2.8201134,2.8360195,3.3193114,3.3193114,3.3360615,3.6192446,3.8368318,left,-4,1,1,0.5114637,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
55,2,2,3.8526123,,3.8369054,3.8526123,4.3360061,4.3360061,4.3527075,4.6359353,4.9037259,left,-2,1,1,0.5642299,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
56,2,1,4.919264,,4.9037988,4.919264,5.4193035,5.4193035,5.4193035,5.7192231,5.936826,left,-1,1,1,0.5091433,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
57,2,1,5.9525673,,5.9368986,5.9525673,6.4368721,6.4368721,6.4537245,6.7368919,6.8889511,right,1,1,1,0.4388468,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
58,2,1,6.9036627,,6.8891314,6.9036627,7.4034994,7.4034994,7.4034994,7.702773,7.8374231,right,1,1,1,0.4200654,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
59,2,1,7.8529096,,7.8375356,7.8529096,8.3529481,8.3529481,8.3529481,8.6526868,8.7537556,right,1,1,1,0.3905369,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
60,1,1,8.769279,,8.7538401,8.769279,9.2693348,9.2693348,9.2693348,9.5692325,9.7034527,left,-1,0,0,0.4218299,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
61,1,2,9.7194096,,9.7035292,9.7194096,10.2027149,10.2027149,10.2197953,10.50268,10.6869127,right,2,1,1,0.482061,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
62,1,2,10.7026329,,10.6870112,10.7026329,11.1860024,11.1860024,11.2027244,11.4859383,11.6535916,right,2,1,1,0.4565239,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
63,1,2,11.6693049,,11.6536884,11.6693049,12.1528004,12.1528004,12.1693739,12.4526418,12.6868792,left,-2,1,1,0.5192057,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
64,1,1,12.7026898,,12.6869525,12.7026898,13.1861946,13.1861946,13.2028377,13.4859453,13.9035891,left,-1,1,1,0.7072868,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
65,1,1,13.9193616,,13.9036882,13.9193616,14.4028898,14.4028898,14.4193568,14.7026943,15.1868033,left,-1,1,1,0.7714929,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
66,1,1,15.2024461,,15.1868745,15.2024461,15.686573,15.686573,15.7032327,15.9865475,16.3201283,left,-1,1,1,0.6166413,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
67,0.5,1,16.3360037,,16.3201983,16.3360037,16.8194583,16.8194583,16.836031,17.1193749,17.3535516,left,-1,0,0,0.5196634,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
68,0.5,1.5,17.3693335,,17.3536266,17.3693335,17.8527042,17.8527042,17.8694723,18.1526885,18.3202273,right,1.5,1,1,0.4603087,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
69,0.5,1.5,18.3360789,,18.3202992,18.3360789,18.8194377,18.8194377,18.8361907,19.1194141,19.4202468,left,-1.5,1,1,0.584683,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
70,0.5,1.5,19.4360621,,19.4203182,19.4360621,19.9194453,19.9194453,19.9363866,20.2193057,20.3872758,left,-1.5,0,0,0.4624395,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
71,0.5,2,20.4026259,,20.3873945,20.4026259,20.9027493,20.9027493,20.9027493,21.2026634,21.670184,left,-2,1,1,0.7549925,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
72,0.5,2,21.6860071,,21.6702536,21.6860071,22.1696093,22.1696093,22.1862608,22.4693144,22.7203848,left,-2,1,1,0.5378622,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
73,0.5,2,22.7359946,,22.7204655,22.7359946,23.2361224,23.2361224,23.2361224,23.5359515,23.8369978,right,2,1,1,0.5936758,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
74,0.5,1.5,23.8531569,,23.8370959,23.8531569,24.3528717,24.3528717,24.3528717,24.6527383,24.803789,right,1.5,1,1,0.4486109,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
75,0.5,1.5,24.8195296,,24.8038685,24.8195296,25.3194525,25.3194525,25.3194525,25.6193583,25.8204623,right,1.5,1,1,0.4928745,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
76,0.5,1.5,25.8360041,,25.8205403,25.8360041,26.3361473,26.3361473,26.3361473,26.6360475,26.7702365,right,1.5,1,1,0.4191696,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
77,0.5,1,26.7860599,,26.7703153,26.7860599,27.2694491,27.2694491,27.2861605,27.5693735,27.6869918,right,1,1,1,0.4083935,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
